trade_id,symbol,setup_type,direction,entry_time,entry_price,stop_loss,tp1,tp2,exit_time,exit_price,exit_reason,size_btc,size_usdt,pnl_usdt,pnl_pct,r_multiple,mfe,mae,fees_paid_usdt,is_closed
PH1-4bb4b0fe,BTC/USDT,BREAKOUT_RETEST,LONG,1695156300000,27178.3,26856.04,27841.97,27983.96,1695237300000,26850.668792,STOP_LOSS,0.1552,4216.83,-54.2,-1.285,-1.08,0.007458155955302603,0.016126836483518075,3.35,True
PH1-fda929e5,BTC/USDT,BREAKOUT_RETEST,LONG,1695240000000,26963.3,26597.42,27589.51,27878.0,1695299700000,26592.100516,STOP_LOSS,0.1359,3664.75,-53.36,-1.456,-1.07,0.01007665975603879,0.016144166329788982,2.91,True
PH1-451a6b81,BTC/USDT,BREAKOUT_RETEST,LONG,1695958200000,26920.9,26603.9,27549.23,27713.4,1696198500000,27707.857320000003,TAKE_PROFIT_2,0.156,4200.53,119.36,2.841,2.41,0.05364976653826578,0.010991460166636385,3.41,True
PH1-17097103,BTC/USDT,BREAKOUT_RETEST,LONG,1696209300000,27857.6,27710.62,28548.91,28225.05,1696218000000,28219.40499,TAKE_PROFIT_2,0.3406,9487.85,115.59,1.218,2.31,0.01340388260295221,0.0016512549537648614,7.64,True
PH1-5ec1dff6,BTC/USDT,BREAKOUT_RETEST,LONG,1696221000000,28033.7,27798.88,28725.42,28620.76,1696271700000,27793.320224000003,STOP_LOSS,0.2156,6045.23,-56.64,-0.937,-1.12,0.0206644146152666,0.014193631236690178,4.81,True
PH1-d49a7a4c,BTC/USDT,BREAKOUT_RETEST,LONG,1696276500000,27955.3,27659.93,28654.18,28693.72,1696282800000,27654.398014000002,STOP_LOSS,0.1705,4765.73,-55.1,-1.156,-1.09,3.5771392187593335e-06,0.01592900094078759,3.79,True
PH1-5f7be20f,BTC/USDT,BREAKOUT_RETEST,LONG,1696283700000,27456.7,27069.81,28143.12,28423.93,1696628100000,28418.245214000002,TAKE_PROFIT_2,0.1294,3553.94,121.53,3.42,2.43,0.03617696227150383,0.01215368197926192,2.89,True
PH1-4abd6bf9,BTC/USDT,BREAKOUT_RETEST,LONG,1696635300000,27926.8,27552.14,28589.3,28863.46,1696844700000,27546.629572,STOP_LOSS,0.1353,3778.08,-54.44,-1.441,-1.07,0.005557385736998178,0.014924731798845528,3.0,True
PH1-bef29cf3,BTC/USDT,TREND_PULLBACK,SHORT,1697124000000,26677.7,26891.83,26179.23,26142.38,1697181300000,26897.208366000003,STOP_LOSS,0.2354,6280.86,-56.72,-0.903,-1.13,0.005356533734167543,0.008332802303047086,5.04,True
PH1-f0c5d9a8,BTC/USDT,BREAKOUT_RETEST,LONG,1698096600000,31586.5,31586.5,32325.42,32771.54,1698100800000,32764.985692000002,TAKE_PROFIT_2,0.1058,3340.44,121.96,3.651,0.0,0.13915438557611642,0.0010890728634068813,2.72,True
